Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,26.264999,27.879999,26.146000,27.389999,27.389999,1238200
2021-04-05,27.850000,29.850000,27.400000,29.000000,29.000000,1322200
2021-04-06,29.500000,30.200001,26.486000,27.430000,27.430000,1542000
2021-04-07,25.900000,27.430000,22.900000,23.020000,23.020000,2402900
2021-04-08,23.379999,25.639999,23.379999,25.500000,25.500000,1370600
2021-04-09,25.799999,26.790001,25.343000,26.680000,26.680000,901000
2021-04-12,27.600000,28.500000,25.580000,26.094999,26.094999,1269400
2021-04-13,26.250000,29.200001,23.969999,25.480000,25.480000,1812200
2021-04-14,27.615999,27.615999,21.950001,22.049999,22.049999,2825000
2021-04-15,22.500000,23.952000,20.000000,22.129999,22.129999,2099000
2021-04-16,21.563999,22.400000,19.992001,21.264999,21.264999,1564400
2021-04-19,19.000000,20.049999,17.600000,19.219999,19.219999,2454300
2021-04-20,17.896000,18.420000,15.950000,16.930000,16.930000,2315000
2021-04-21,15.605000,20.655001,15.145000,19.980000,19.980000,2241100
2021-04-22,19.559999,21.500000,17.323000,17.940001,17.940001,1965900
2021-04-23,17.254999,19.450001,15.750000,18.500000,18.500000,1224600
2021-04-26,19.500000,20.809999,19.200001,20.205000,20.205000,719000
2021-04-27,19.969999,21.271000,19.209999,20.191999,20.191999,692100
2021-04-28,20.170000,20.559999,19.350000,19.350000,19.350000,594600
2021-04-29,20.290001,20.379999,18.400000,19.020000,19.020000,872500
2021-04-30,19.714001,22.969999,19.017000,22.500000,22.500000,925500
2021-05-03,22.750000,24.600000,22.750000,23.301001,23.301001,1133100
2021-05-04,22.962000,23.290001,20.488001,21.980000,21.980000,1031700
2021-05-05,23.805000,23.896000,21.799999,22.700001,22.700001,761900
2021-05-06,22.759001,23.379999,20.497999,21.250000,21.250000,728100
2021-05-07,21.990000,22.195000,20.020000,21.025999,21.025999,635100
2021-05-10,21.650000,23.000000,19.900000,19.980000,19.980000,1141300
2021-05-11,18.794001,20.400000,17.549999,20.010000,20.010000,1041100
2021-05-12,20.049999,20.980000,18.170000,18.379999,18.379999,1034600
2021-05-13,17.306000,19.930000,16.000000,16.420000,16.420000,2061400
2021-05-14,17.908001,19.003000,17.750000,18.500000,18.500000,1108900
2021-05-17,18.108000,18.799999,16.972000,18.049999,18.049999,910900
2021-05-18,18.400000,18.886000,17.896999,18.320000,18.320000,451100
2021-05-19,16.000000,16.969999,15.200000,16.799999,16.799999,1736900
2021-05-20,17.483999,18.400000,17.200001,18.230000,18.230000,678800
2021-05-21,18.707001,19.500999,16.750000,16.750000,16.750000,736800
